	contribution	tag	corpus	id_elf	count
0	3-10024	Lutte évasion, fraude, optimisation	Faire payer l'impot à toutes les entreprises sur la base du chiffre réalisé en France, quelque soit leur domiciliation fiscale. Renforcer la lutte contre l'évasion fiscale et le travail clandestin	FI8	3
1	3-10024	Taxer les multinationales, GAFAM	Faire payer l'impot à toutes les entreprises sur la base du chiffre réalisé en France, quelque soit leur domiciliation fiscale. Renforcer la lutte contre l'évasion fiscale et le travail clandestin	FI8	3
2	3-10044	Info déjà disponible	Aucune	FI7	2
3	3-10104	Par médias	internet media	FI7	3
4	3-10104	Par site Internet	internet media	FI7	3
5	3-10110	Transparence	Plus de transparence	FI7	3
6	3-10125	Impôt symbolique pour tous	Rétablir L'ISF. Taxer fortement les GAFA. Ne pas faire supporter l'ettentiel de l.impot aux classes moyennes et moyennes supérieure. Supprimer les taxes sur les l'électricité le gaz, l'eau et le fioul domestique, c.est produit de première nécessité pour tous aujourd'hui n'ont aucunes raisons d'être taxés.	FI8	1
7	3-10125	Rétablir ISF	Rétablir L'ISF. Taxer fortement les GAFA. Ne pas faire supporter l'ettentiel de l.impot aux classes moyennes et moyennes supérieure. Supprimer les taxes sur les l'électricité le gaz, l'eau et le fioul domestique, c.est produit de première nécessité pour tous aujourd'hui n'ont aucunes raisons d'être taxés.	FI8	3
8	3-10125	TVA réduite (1ère nécessité)	Rétablir L'ISF. Taxer fortement les GAFA. Ne pas faire supporter l'ettentiel de l.impot aux classes moyennes et moyennes supérieure. Supprimer les taxes sur les l'électricité le gaz, l'eau et le fioul domestique, c.est produit de première nécessité pour tous aujourd'hui n'ont aucunes raisons d'être taxés.	FI8	2
9	3-10125	Taxer les multinationales, GAFAM	Rétablir L'ISF. Taxer fortement les GAFA. Ne pas faire supporter l'ettentiel de l.impot aux classes moyennes et moyennes supérieure. Supprimer les taxes sur les l'électricité le gaz, l'eau et le fioul domestique, c.est produit de première nécessité pour tous aujourd'hui n'ont aucunes raisons d'être taxés.	FI8	3
10	3-10199	Impôt symbolique pour tous	généraliser l’impôt sur le revenu à tous les citoyens quelque soit le montant et la nature du revenu en supprimant le seuil du revenu imposable ou en fixant celui ci au coût de la perception de l’impôt. Le principe est que chacun doit contribuer selon ses revenus aussi faibles soient t-ils, tous contributeurs = tous concernés	FI8	3
11	3-10199	Sans effet de seuil	généraliser l’impôt sur le revenu à tous les citoyens quelque soit le montant et la nature du revenu en supprimant le seuil du revenu imposable ou en fixant celui ci au coût de la perception de l’impôt. Le principe est que chacun doit contribuer selon ses revenus aussi faibles soient t-ils, tous contributeurs = tous concernés	FI8	2
12	3-10216	Bilan régulier, fréquent	Au moment de la déclaration des impôts, avoir la possibilité de télécharger un rapport de 5/6 pages, téléchargeable sur le mobile expliquant comment l' argent a été dépensé durant l année et un bilan global des finances.	FI7	3
13	3-10216	Idée marquée	Au moment de la déclaration des impôts, avoir la possibilité de télécharger un rapport de 5/6 pages, téléchargeable sur le mobile expliquant comment l' argent a été dépensé durant l année et un bilan global des finances.	FI7	1
14	3-10216	Par courrier, mail	Au moment de la déclaration des impôts, avoir la possibilité de télécharger un rapport de 5/6 pages, téléchargeable sur le mobile expliquant comment l' argent a été dépensé durant l année et un bilan global des finances.	FI7	1
15	3-10216	Par site Internet	Au moment de la déclaration des impôts, avoir la possibilité de télécharger un rapport de 5/6 pages, téléchargeable sur le mobile expliquant comment l' argent a été dépensé durant l année et un bilan global des finances.	FI7	1
16	3-10216	Prévision, rétrospective	Au moment de la déclaration des impôts, avoir la possibilité de télécharger un rapport de 5/6 pages, téléchargeable sur le mobile expliquant comment l' argent a été dépensé durant l année et un bilan global des finances.	FI7	3
17	3-10216	Répartition de la contribution	Au moment de la déclaration des impôts, avoir la possibilité de télécharger un rapport de 5/6 pages, téléchargeable sur le mobile expliquant comment l' argent a été dépensé durant l année et un bilan global des finances.	FI7	1
18	3-10216	Répartition dépenses, recettes	Au moment de la déclaration des impôts, avoir la possibilité de télécharger un rapport de 5/6 pages, téléchargeable sur le mobile expliquant comment l' argent a été dépensé durant l année et un bilan global des finances.	FI7	4
19	3-10216	Transparence	Au moment de la déclaration des impôts, avoir la possibilité de télécharger un rapport de 5/6 pages, téléchargeable sur le mobile expliquant comment l' argent a été dépensé durant l année et un bilan global des finances.	FI7	1
20	3-10232	P + de tranches IR progressives	Proportonaliser mieux en fonction des revenus.	FI8	3
21	3-10238	P + de tranches IR progressives	augmenter le nombre de tranches impot revenus. Revoir les niches fiscales trop nombreuses et méconnues parfois	FI8	3
22	3-10238	Revoir niches	augmenter le nombre de tranches impot revenus. Revoir les niches fiscales trop nombreuses et méconnues parfois	FI8	2
23	3-10238	Taxer les riches	augmenter le nombre de tranches impot revenus. Revoir les niches fiscales trop nombreuses et méconnues parfois	FI8	1
24	3-10250	Info déjà disponible	RAS	FI7	1
25	3-10298	Pédagogie, visualisation	Mieux communiquer et surtout services de qualité (ce n'est pas le case maintenant, rapport impots/service négatif).	FI7	1
26	3-10298	Transparence	Mieux communiquer et surtout services de qualité (ce n'est pas le case maintenant, rapport impots/service négatif).	FI7	1
27	3-10309	Par site Internet	SITE INTERNET	FI7	3
28	3-10312	Idée marquée	chaque citoyen doit pouvoir affecter le montant de ses impôts aux dépenses publiques qu'il juge utile.	FI7	1
29	3-10312	Impôts fléchés	chaque citoyen doit pouvoir affecter le montant de ses impôts aux dépenses publiques qu'il juge utile.	FI7	1
30	3-10318	Idée marquée	* Travail et Aidants-familiaux :  « Cessons la descente aux enfers »   Tout employeur qui acceptera l’aménagement d’un contrat de travail d’un aidant-familial bénéficiera d’une baisse des charges patronales sur le salaire de l’employé pendant toute la durée de l’aménagement et du statut aidant-familial (voir proposition Député Alain Ramadier)  Rallonger la durée des AJPP de 3 ans à 15 ans (4 périodes d’AJPP), (la plupart du temps les parents touchant la PCH ne perçoivent pas les allocations AJPP car le montant est inférieur à ce dernier). Cela obligerait les employeurs à accepter les aménagements sans toucher au budget de la CAF  Assurer la réinsertion professionnelle des aidants-familiaux (formation, coaching…) ayant dû s’arrêter de travailler pendant une longue période et leur verser une allocation chômage lorsqu’elles ne touchent plus la PCH (Prestation de Compensation au Handicap). Etendre cette garantie aux travailleurs indépendants, professions libérales ayant dû cesser leur activité pour s’occuper de leur enfant.  Dans le calcul du montant de base de la retraite, compter uniquement les 10 meilleures années pour les parents ayant dû cesser complètement ou partiellement leur activité professionnelle pendant au moins 10 ans.  Augmenter de 20% le nombre de points AGIRC et ARRCO ou tout autre régime acquis tout au long de sa carrière pour les aidants-familiaux ayant exercé cette fonction pendant au moins 10 ans.  Santé : « Payons aujourd’hui pour les économies de demain »   Rembourser les frais de psychomotricité et d’ergothérapie en ville dès lors qu’il y a une reconnaissance MDPH et au-delà de 6 ans (et pas seulement les séances dispensées dans les centres CAMPS, IME et autres…. Principe d’équité)  Améliorer l’offre de soins chez les personnes handicapées moteurs en augmentant le temps de rééducation d’une séance de kiné de 30 min à 1 heure par séance. Proposer un minimum d’une séance de kinésithérapie par jour.  Rembourser les sessions de rééducations intensives pratiquées à l’étranger dès lors qu’elles sont prises en charge par d’autres pays européens et qu’elles proposent des soins multidisciplinaires. Etudier les articles médicaux mettant en avant la nécessité d’une rééducation intensive  Enregistrement de bonnes pratiques médicales dans la paralysie cérébrale auprès de la haute autorité de santé et lancement d’un plan paralysie cérébrale  Acceptation de la double prise en charge par la CPAM dans la mesure où les centres (CAMPS, IEM, FAM...)  ne proposent pas en quantité suffisante des soins de rééducation.  Accélérer la procédure de diagnostic chez les enfants atteints d’autisme pour que dès leur plus jeune âge ils soient pris en charge  Rembourser les différentes méthodes de rééducation (ABA…) pour les enfants autistes ou atteints de TED  Matériel-Médical :  « Arrêtons d’être des vaches à lait pour les fabricants »   L’aide-technique de 3 960 euros pour 3 ans doit être augmentée lorsque l’enfant souffre de plusieurs difficultés motrices (jambe, bras-main, non verbalisation, vue, surdité…) Modifier l’Article L245-6 du code de l’action sociale et des familles Loi n°2005-1579 du 19 décembre 2005 - art. 71 JORF 20 décembre 2005   Harmoniser les calculs de remboursement des aides-techniques et du calcul de la PCH entre les MDPH des différents départements  Accepter le remboursement du matériel médical acheté à l’étranger car soit moins cher soit non disponible en France  Favoriser les sièges modulables en augmentant la base de remboursement LPPR plutôt que les corsets-siège non réglables et non recyclables  Développer le prêt de matériel médical plutôt que d’acheter systématiquement et prévoir son recyclage  Proposer un remboursement CPAM à toutes les aides-techniques qui permettent « de boire, manger et parler » ce qui n’est pas le cas actuellement (veille technologique)  Taxer les entreprises d’agroalimentaires et la grande distribution pour financer le handicap car ils nous empoisonnent et sont la cause de nombreux handicaps et maladies  MDPH : « Une institution qui a vocation d’aider les familles et non de les appauvrir »   - Augmenter la base horaire PCH d’aide humaine à 100% du smic horaire net, quelque que soit le statut (avec activité professionnelle partielle ou sans activité professionnelle)  Cotiser au chômage à la santé et à l’allocation retraite lorsque l’on touche la PCH aide hu-maine ou l’AEEH et son complément  Imposer une égalité d’allocation AEEH et/ou PCH dans tous les départements (aides hu-maines, aides techniques). En effet en comparant nos situations nous nous sommes aperçus que les décisions des MDPH (qui dépendent des départements) pouvaient varier pour le montant ou l’acceptation des remboursements mettant à mal le principe d’égalité, un des piliers de notre régime républicain.  Ne refaire un dossier MDPH pour un enfant que tous les 4 ans en cas d’invalidité à partir de 50%  sauf en cas de changement signalé par la famille et le médecin  La non-imposition de la PCH pour les aides humaines des aidants familiaux. En effet cette allocation est soumise aux prélèvements sociaux.  -Arrêter de spolier les familles en abaissant depuis un certain temps les compléments AEEH et les montants PCH, alors que le handicap n’a pas changé. Si les familles n’ont pas le courage d’aller jusqu’au tribunal administratif elles voient leurs aides baisser drastiquement	FI8	1
31	3-10339	Détail des dépenses, comptes	Une plus grande clarté quant à l'utilisation des impôts collectés	FI7	2
32	3-10339	Pédagogie, visualisation	Une plus grande clarté quant à l'utilisation des impôts collectés	FI7	1
33	3-10339	Répartition de la contribution	Une plus grande clarté quant à l'utilisation des impôts collectés	FI7	2
34	3-10339	Répartition dépenses, recettes	Une plus grande clarté quant à l'utilisation des impôts collectés	FI7	2
35	3-10339	Transparence	Une plus grande clarté quant à l'utilisation des impôts collectés	FI7	2
36	3-10340	Expliquer chaque impôt	Il ne s'agit pas d'information dont on a besoin mais simplement que l'Etat ait une action claire qui laisse apparaître des choix politiques et le financement des actions correspondantes. Par exemple la politique de la ville est une aberration : pas de résultats pour des milliards engagés. L'emploi des fonds collectés au travers de l'impôt est une préoccupation	FI7	1
37	3-10340	Indicateurs d'efficacité	Il ne s'agit pas d'information dont on a besoin mais simplement que l'Etat ait une action claire qui laisse apparaître des choix politiques et le financement des actions correspondantes. Par exemple la politique de la ville est une aberration : pas de résultats pour des milliards engagés. L'emploi des fonds collectés au travers de l'impôt est une préoccupation	FI7	1
38	3-10340	Info déjà disponible	Il ne s'agit pas d'information dont on a besoin mais simplement que l'Etat ait une action claire qui laisse apparaître des choix politiques et le financement des actions correspondantes. Par exemple la politique de la ville est une aberration : pas de résultats pour des milliards engagés. L'emploi des fonds collectés au travers de l'impôt est une préoccupation	FI7	1
39	3-10340	Pédagogie, visualisation	Il ne s'agit pas d'information dont on a besoin mais simplement que l'Etat ait une action claire qui laisse apparaître des choix politiques et le financement des actions correspondantes. Par exemple la politique de la ville est une aberration : pas de résultats pour des milliards engagés. L'emploi des fonds collectés au travers de l'impôt est une préoccupation	FI7	1
40	3-10340	Répartition dépenses, recettes	Il ne s'agit pas d'information dont on a besoin mais simplement que l'Etat ait une action claire qui laisse apparaître des choix politiques et le financement des actions correspondantes. Par exemple la politique de la ville est une aberration : pas de résultats pour des milliards engagés. L'emploi des fonds collectés au travers de l'impôt est une préoccupation	FI7	1
