	contribution	tag	corpus	id_elf	count
0	1-10005	Y Rien	nsp	DC13	1
1	1-10092	Aucun financement par l'Etat	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	DC13	1
2	1-10092	Garantir la liberté de culte	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	DC13	1
3	1-10092	Loi de la République avant celles de la religion	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	DC13	5
4	1-10092	Lutte contre extrémismes	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	DC13	2
5	1-10092	Même traitement pour toutes les religions	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	DC13	1
6	1-10092	Pas de laïcité extrême	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	DC13	2
7	1-10092	Statut des écoles religieuses	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	DC13	4
8	1-10092	Séparation stricte Etat-religions	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	DC13	5
9	1-10100	Plus d'éducation	Cours d'instruction civique	DC13	3
