	contribution	tag	corpus	question	count
0	1-10005	Y Rien	nsp	127	1
1	1-10092	Aucun financement par l'Etat	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	127	1
2	1-10092	Garantir la liberté de culte	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	127	1
3	1-10092	Loi de la République avant celles de la religion	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	127	5
4	1-10092	Lutte contre extrémismes	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	127	2
5	1-10092	Même traitement pour toutes les religions	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	127	1
6	1-10092	Statut des écoles religieuses	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	127	4
7	1-10092	Séparation stricte Etat-religions	1/. LA FERMETÉ; la voix du peuple est supérieure à la voix des dieux. 2/. LA NEUTRALITÉ: l’État ne participe pas  aux manifestations religieuses ( repas du Criff, rupture du jeune, Te-Deum..). Ses représentants  peuvent cependant être présents aux cérémonies religieuses dédiées à une personne particulière ( mariage, enterrements...). La manifestation de son appartenance relieuse doit être acceptée. L'interdiction du port du voile et autres signes n'est pas une bonne idée même à l'école. 3/. LA VIGILANCE: surveillance des écoles confessionnelles et des lieux de culte traditionalistes de tous bords.	127	5
8	1-10100	Plus d'éducation	Cours d'instruction civique	127	3
9	1-10112	Condamnation des atteintes à la laïcité	Ce n’est pas une priorité à mon sens L’éducation doit permettre la laïcité  La justice doit aussi être saisie plus facilement en cas de violation de la laïcité	127	3
