contribution;tag;corpus;question;count
37 240;Le peuple pas responsable du problème écologique;Stopper toutes ces taxes et donner une autre image des verts qui ne pensent qu’à leurs intérêts électoraux et personnels et culpabilisent les gens !!;TE13;1
12 970;Etre plus à l'écoute;Avoir des représentants actif qui remontent et traite les problèmes en lieu et place en arrêtant de tergiverser.;OE11;1
12 970;Plus de transparence;Avoir des représentants actif qui remontent et traite les problèmes en lieu et place en arrêtant de tergiverser.;OE11;1
13 210;Incitations financières au lieu de taxes;Il faudrait pousser la création de beaucoup plus de murs végétale dans les villes. Par exemples, tout les nouveaux bâtiments en ville devrait intégrer des éléments écologique comme des des murs végétale, des puits de lumières, des panneaux solaires etc etc etc (soit par une exonération de taxe, soit par des taxes en plus si non respecté;TE13;1
13 210;Développer les énergies renouvelables;Il faudrait pousser la création de beaucoup plus de murs végétale dans les villes. Par exemples, tout les nouveaux bâtiments en ville devrait intégrer des éléments écologique comme des des murs végétale, des puits de lumières, des panneaux solaires etc etc etc (soit par une exonération de taxe, soit par des taxes en plus si non respecté;TE13;1
27 510;Services médicaux dans les zones rurales;Créé un réseau plus important, avec des agents mobile par exemple dans plusieur commune, notamment les plus éloigné, combler les désert administratif souvent peuple des personnes les plus fragile;OE11;1
27 510;Simplification démarche administratives;Créé un réseau plus important, avec des agents mobile par exemple dans plusieur commune, notamment les plus éloigné, combler les désert administratif souvent peuple des personnes les plus fragile;OE11;1
27 510;Plateforme unique service publique et maison de services publics;Créé un réseau plus important, avec des agents mobile par exemple dans plusieur commune, notamment les plus éloigné, combler les désert administratif souvent peuple des personnes les plus fragile;OE11;1
27 890;Taxe sur les plus gros pollueurs;taxer les pollueurs, arrêter le nucléaire, développer les énergies renouvelables;TE13;1
27 890;Arrêter le nucléaire;taxer les pollueurs, arrêter le nucléaire, développer les énergies renouvelables;TE13;1
27 890;Développer les énergies renouvelables;taxer les pollueurs, arrêter le nucléaire, développer les énergies renouvelables;TE13;1
14 583;Simplification de l'administration et des services publics;Beaucoup trop compliqué, trop de services jumeaux, services mal gérés;OE9;1
14 583;Incompétence et inefficacité;Beaucoup trop compliqué, trop de services jumeaux, services mal gérés;OE9;1
28 710;Etre plus à l'écoute;En étant plus proche des usagers;OE11;1
28 710;En étant proche des gens / présence physique;En étant plus proche des usagers;OE11;1
29 250;Plus de moyens aux communes / plus de décentralisation;Cela ferait peut être perdre une sortent d'unité français mais je pense que les collectivités doivent être adapté au territoire en donnant plus de pouvoir au maires de façon à gérer au mieux leurs villes;OE11;1
29 540;Plus de moyens aux communes / plus de décentralisation;Recentrer le pouvoir au niveau des communes en gardant les budgets à des échelles plus larges.&&Car régionaux mais mieux desservi dans les zones très rurales;OE11;1
29 540;Inciter à la mobilité;Recentrer le pouvoir au niveau des communes en gardant les budgets à des échelles plus larges.&&Car régionaux mais mieux desservi dans les zones très rurales;OE11;1
29 610;Taxe sur les plus gros pollueurs;Fiscalité écologique et relation avec les comportements pollueurs.;TE13;1
29 610;Lois et accords commerciaux plus restrictifs;Fiscalité écologique et relation avec les comportements pollueurs.;TE13;1
39 750;Changement mode de consommation;Il faut mettre fin à la surproduction et la surconsomation.;TE13;1
39 750;Agriculture raisonnée, bio, circuits courts;Il faut mettre fin à la surproduction et la surconsomation.;TE13;1
22 070;Plus de moyens aux communes / plus de décentralisation;Avec plus de moyens;OE11;1
4 650;Simplification démarche administratives;Gagner du temps en réponse aux usagers;OE11;1
39 780;Plus de moyens aux communes / plus de décentralisation;Leur donner plus de fond, et essayer de motiver les meilleurs éléments d'écoles de l'administration d'y aller, par exemple avec un salaire plus attractif;OE11;1
