nom,type,thème,question
DC11,Libre,Démocratie et citoyenneté,🗣Q11 - Comment inciter les citoyens à participer davantage aux élections ? Que faudrait-il faire pour mieux associer les citoyens aux grandes orientations et à la décision publique ?
DC12,Libre,Démocratie et citoyenneté,"🗣Q12 - Quelles sont les discriminations les plus répandues dont vous êtes témoin ou victime, et que faudrait-il faire pour lutter contre celles-ci et construire une société plus solidaire et tolérante ?"
DC13,Libre,Démocratie et citoyenneté,🗣Q13 - Que proposez-vous pour renforcer les principes de la laïcité dans le rapport entre l'Etat et les religions de notre pays ?
FI7,Libre,Impôts et dépenses publiques,💰Q7 - Quelles sont toutes les choses qui pourraient être faites pour améliorer l'information des citoyens sur l'utilisation des impôts ?
FI8,Libre,Impôts et dépenses publiques,💰Q8 - Que faudrait-il faire pour rendre la fiscalité plus juste et plus efficace ?
FI9,Libre,Impôts et dépenses publiques,💰Q9 - Quels sont les autres points sur lesquels vous souhaitez vous exprimer au sujet des impôts et des dépenses ?
II1,Libre,Immigration et intégration,"🤝Q1 - Que pensez-vous de la situation en France aujourd'hui et de la politique migratoire ? Quels sont, selon vous, les critères à mettre en place pour définir la politique migratoire ?"
II3,Libre,Immigration et intégration,"🤝Q3 - Quelles sont, selon vous, les modalités d'intégration les plus efficaces et les plus justes à mettre en place aujourd'hui dans la société ?"
OE10,Libre,Organisation de l'Etat,🇫🇷Q10 - Quels types de services publics vous manquent dans votre territoire et nécessitent d'être renforcés ? Quelles évolutions positives des services publics avez-vous noté ces dernières années ? Quelles améliorations suggérez-vous ?
OE11,Libre,Organisation de l'Etat,🇫🇷Q11 - Comment l’Etat et les collectivités territoriales peuvent-ils s’améliorer pour mieux répondre aux défis de nos territoires les plus en difficulté ?
OE9,Libre,Organisation de l'Etat,🇫🇷Q9 - Que pensez-vous de l'organisation de l'Etat et des administrations en France ? De quelle manière cette organisation devrait-elle évoluer ?
TE11,Libre,Transition écologique,🌎Q11 - Que faites-vous aujourd’hui pour protéger l’environnement et/ou que pourriez-vous faire ?
TE12,Libre,Transition écologique,🌎Q12 - Qu'est-ce qui pourrait vous inciter à changer vos comportements qui ne sont pas écologiques ? N'hésitez pas à donner des exemples concrets
TE13,Libre,Transition écologique,🌎Q13 - Quels sont les autres points sur lesquels vous souhaitez vous exprimer au sujet de la transition écologique ?
QL,Libre,Contribution libre,✏️Contribution libre
