customer_id,question_name,answer,theme
17777,DC11,"Je pense qu'ils ne se sentent pas concernés par lesdécisions prises, manquent d'informations",Démocratie et citoyenneté
17803,DC11,Vote obligatoire,Démocratie et citoyenneté
17831,DC11,En prenant en compte le vote blanc,Démocratie et citoyenneté
17832,DC11,Je pense que serait une bonne chose && Ils faut davantage de référendum,Démocratie et citoyenneté
17874,DC11,Vote obligatoire,Démocratie et citoyenneté
17878,DC11,"Je pense un participer  aux débats.. avoir  des moyens 
C'est financièrement  être 
Plus sincères  une charte 
Déontologique..",Démocratie et citoyenneté
17887,DC11,"Tenir compte de désirs, honnêteté des élus,fin des privilèges",Démocratie et citoyenneté
17897,DC11,faire des enquêtes comme celle ci,Démocratie et citoyenneté
17943,DC11,"Dites leur la vérité. Si une situation est jugée catastrophique c'est aux citoyen(ne)s d'y répondre et non à un gouvernement qui ne nous entends pas ! && Il y en à marre des faux semblant. Vous voulez que la Démocratie se renforce ? Ecoutez les citoyen(ne)s, cessez de faire la sourde oreille. Nous avons toutes et tous nos mots à dire pour la gestion de nos vies, comme celles de nos enfants ! Un Pays libre est un pays qui vit par et pour le Peuple !",Démocratie et citoyenneté
17965,DC11,Rendre la politique intéressante,Démocratie et citoyenneté
17966,DC11,Responsabiliser les citoyens et organiser des débats locaux,Démocratie et citoyenneté
17971,DC11,"Plus d'éducation civique, y compris au lycée. Proposer des formations en ligne pour mieux comprendre le fonctionnement de notre état.",Démocratie et citoyenneté
17974,DC11,Information du citoyen + vote oblugatoire,Démocratie et citoyenneté
18013,DC11,Voťe obligatoire,Démocratie et citoyenneté
18019,DC11,Qu'il arrête leur connerie comme les 80km/h,Démocratie et citoyenneté
18021,DC11,Instaurer le ric,Démocratie et citoyenneté
18028,DC11,"Déjà rendre le vote obligatoire comme dans d'autres pays, surtout dans notre pays où il y a beaucoup de sociale pour responsabiliser les gens",Démocratie et citoyenneté
18030,DC11,Faire de la formation et renforcer l’éducation civique a l’école,Démocratie et citoyenneté
18051,DC11,A leur donner  l accees,Démocratie et citoyenneté
18056,DC11,Il faut supprimer le senat mettre une assemblee citoyennes qui proposeré des lois aux députés,Démocratie et citoyenneté
18067,DC11,Une amande,Démocratie et citoyenneté
18073,DC11,Leurs donné  plus de décision  dans les changemant,Démocratie et citoyenneté
18098,DC11,obligés le vote,Démocratie et citoyenneté
18118,DC11,"Commencer par écouter ce qu'ils ont à dire avant de les juger, ne pas faire ""la sourde oreille"" quand les citoyens manifestent, mettre en place un référendum d'initiative citoyenne (RIC)",Démocratie et citoyenneté
18137,DC11,Déjà que les élus soit proche du citoyen. Mettre en place le RIC et que toutes les grandes décisions ait l'assentiment du peuple. Tout comme ce qui se décide à l'assemblée nationale.,Démocratie et citoyenneté
18141,DC11,"Une idée  folle 
Que recherche  les français  de argent 
Voilà  la réponse",Démocratie et citoyenneté
18163,DC11,Rendre la politique plus attractive.,Démocratie et citoyenneté
18167,DC11,Faciliter les démarches administratives pour voter à distance... via internet?,Démocratie et citoyenneté
18171,DC11,En les ma traquant  et les gasant,Démocratie et citoyenneté
18172,DC11,NE PLUS MENRIR AUX ÉLECTEURS  ! APPLIQUER LES PROMESSES OU NE PAS EN FAIRE.,Démocratie et citoyenneté
18176,DC11,Moraliser la vie publique. Sanctionner plus sévèrement les écarts de conduite des élus et rendre transparentes toutes leurs dépenses,Démocratie et citoyenneté
18197,DC11,"Faire une campagne de sensibilisation pour inciter les citoyens à participer aux élections, notamment les élections européennes en approche, il faudrait que plus de citoyens comprennent l’importance de l’Europe et son influence pour être encouragé à voter. 
Il faudrait également des campagnes d’explications des décisions prises par le gouvernement et des lois votées, pour que chacun puisse mieux comprendre ce qu’il se passe et pourquoi telle décision a été prise, la désinformation est un fléau qui participe à la colère nationale, si chaque mesure était bien expliqué je suis convaincu que la colère serait moindre (notamment vis à vis de la suppression de l’ISF par exemple), ainsi chacun serait plus à même de participer au débat nationale et se sentirait réellement citoyen",Démocratie et citoyenneté
18199,DC11,"Les citoyens n'ont pas à participer à toutes les décisions. Il  y a une démocratie représentative pour cela. Cependant, les référendums doivent se développer, mais il ne faut pas tomber dans l'utopie de la démocratie participative, car trop souvent des ""conseils de quartier"" ou d'autres exemples comme celui-ci sont mis en place, et on y retrouve toujours les mêmes personnes. Le peuple a aussi sa part de responsabilité",Démocratie et citoyenneté
18200,DC11,Organiser plus de consultations sur des sujets variés de manière à ce que les citoyens renouent avec l'idée que leur voix compte && Modifier le système de vote uninominal majoritaire à deux tours pour des systèmes favorisant un vrai choix démocratique && Plus d'informations des médias sur toutes les alternatives possibles && Réduire le nombre de sondages d'opinion qui donnent l'impression que le résultat est figé peu importe ce que l'on vote,Démocratie et citoyenneté
18201,DC11,Regagner la confiance des citoyens...et les prendre au sérieux,Démocratie et citoyenneté
18202,DC11,"faire des campagnes de sensibilisation 
faire en sorte qu'ils se sentent concerner",Démocratie et citoyenneté
18215,DC11,Ric,Démocratie et citoyenneté
18224,DC11,"Une pédagogie plus claire 
Des applis / RS permettant de suivre l’actualité de sa ville, sa région et des échéances",Démocratie et citoyenneté
18232,DC11,"Éduquer les jeunes français avec plus d'instruction civique à  l'école. Il me semble que dans ce contexte beaucoup de choses se jouent.
Quant aux adultes rien ne pourra les obliger à  participer Sauf le vote obligatoire",Démocratie et citoyenneté
