contribution;tag;corpus;question;count
42 431;Diminution salaires et suppression des avantages des parlementaires, ministres et hauts fonctionnaires;Les dépenses du gouvernement et les dépenses administratives sont indécentes. &&1,5 milliard pour l’action du gouvernement c’est inadmissible, il faut baisser drastiquement les salaires des politiques et de l’administration pour retrouver des personnes qui font ça par passion&&Cela n’est pas au peuple de payer pour les privilèges;FI9;1
13 610;Développement voiture électrique;Il faut arrêter certaines taxes et accompagner pour aller vers l'électrique;TE13;1
12 847;Lutte évasion, fraude, optimisation;Mieux lutter contre la fraude interdire les paiements en espèces;FI8;1
13 630;Incompétence et inefficacité;Trop de personnes inutiles alors que certains services sont en tension;OE9;1
13 860;Lenteur administrative;Très long ! &&Demander moins de paperasse pour une simple demande ou autres choses;OE9;1
23 614;Bureaux de Poste;Les services publics postaux, d'assurance maladie et de santé de proximité.;OE10;1
23 614;Famille (enfance, crèches, allocations familiales CAF);Les services publics postaux, d'assurance maladie et de santé de proximité.;OE10;1
23 614;Santé (hôpitaux, médecins);Les services publics postaux, d'assurance maladie et de santé de proximité.;OE10;1
47 055;Impôt symbolique pour tous;Tout le monde doit payer l’impôts ! Ne serait-ce que 1€. L’exonération est inacceptable;FI8;1
37 221;Autre / Passer;Fiscalité au prorata des revenus nets, ou bénéfices nets;FI8;1
26 282;racisme, xénophobie, discriminations religieuses;Discrimination de sexe au travail (différence de salaire) : mettre en place un indice;DC12;1
26 282;renforcer les lois (ex : parité H/F, …);Discrimination de sexe au travail (différence de salaire) : mettre en place un indice;DC12;1
37 260;Un état et des services publics moins dépensiers et plus efficaces / meilleure utilisation des impôts;Arrêter de faire la guerre auxriches, baissez la dépense publique avant d'orienter le débat sur les classes aisées, vous êtes en train de fracturer le pays.;FI9;1
26 312;Plus de moyens aux communes / plus de décentralisation;Décentralisation;OE11;1
26 311;Diminution salaires et suppression des avantages des parlementaires, ministres et hauts fonctionnaires;Revoir la rémunération et les avantages des élus de là républiques et du gouvernement;FI9;1
4 030;sexisme;Pour moi, la discrimination principale est l'inégalité des salaires entre les femmes et les hommes. À travail égal, salaire égal.;DC12;1
4 030;renforcer les lois (ex : parité H/F, …);Pour moi, la discrimination principale est l'inégalité des salaires entre les femmes et les hommes. À travail égal, salaire égal.;DC12;1
37 293;apprentissage du français;Accès plus facile pour les enfants immigrés à l'école de la République ET cours de francais / alphabétisation gratuits et accessibles pour les adultes avant même qu'ils aient leurs papiers. Les loger afin qu'ils puissent vivre dignement.;II3;1
37 293;aide au logement;Accès plus facile pour les enfants immigrés à l'école de la République ET cours de francais / alphabétisation gratuits et accessibles pour les adultes avant même qu'ils aient leurs papiers. Les loger afin qu'ils puissent vivre dignement.;II3;1
37 293;accès à l’école;Accès plus facile pour les enfants immigrés à l'école de la République ET cours de francais / alphabétisation gratuits et accessibles pour les adultes avant même qu'ils aient leurs papiers. Les loger afin qu'ils puissent vivre dignement.;II3;1
37 291;Rétablir ISF;Remettre l'ISF !!!!;FI8;1
12 882;Aides financières, fiscalité incitative, baisse prix;Oui, changer de véhicule, qui vieillit, si financièrement on m'en donne les moyens, ,comment faire lorsqu'on gagne le smic?;TE12;1
13 810;Rétablir ISF;Rendre l'ISF;FI9;1
12 883;Taxe sur les plus gros pollueurs;Il faut empêcher les usine de polluer, les énormes bateaux qui accostent dans nos ports, pénaliser les bateaux qui dégaze en mer, les décharges sauvages aussi,;TE13;1
12 888;Incompétence et inefficacité;Améliorer l’accueil du public;OE9;1
12 888;Plus de proximité et d'humanité;Améliorer l’accueil du public;OE9;1
53 013;accès à l’école;L’école est le meilleur moyen de s’intégrer en société, mais il faut revoir tout le système scolaire pour que ceci marche;II3;1
47 060;Plateforme unique service publique et maison de services publics;Il faut rassembler les services et proposer plus de suivis en ligne;OE11;1
26 342;Taxer le luxe, polluant, importé;Vaste question. Plus efficace : taxer les masses, actuellement toute la contribution de l'IR est faite par les riches.&&Plus juste : taxer ce qui nuit à l'environnement;FI8;1
26 342;Taux IR égal pour tous;Vaste question. Plus efficace : taxer les masses, actuellement toute la contribution de l'IR est faite par les riches.&&Plus juste : taxer ce qui nuit à l'environnement;FI8;1
26 340;Autre / Passer;franchement on est plutôt bien en France, ayant vécu 1 an en Egypte avec des militaires devant toutes les églises pour les protéger, toutes les femmes qui vivent les mains liées à ce que pense la société d'eux...;DC13;1
4 051;Accessibilité (plus d’horaires, plus de personnel, plus proche);Tous car je travaille entre 9h et 17h du lundi au vendredi, comme de nombreux français. aucun service n est ouvert je dois prendre des congés pour faire des démarches administratives. Comme des questions sur la déclaration des impôts ou pour la sécu.;OE10;1
4 073;apprentissage du français;Enseigner la langue française  et les valeurs française de maniere obligatoire et soutenue des l’arrivee en France;II3;1
4 073;intégration dans la culture / valeurs françaises;Enseigner la langue française  et les valeurs française de maniere obligatoire et soutenue des l’arrivee en France;II3;1
4 074;Accessibilité (plus d’horaires, plus de personnel, plus proche);A moi rien je me debrouille mais pour les personnes agées qui n’ont pas internet ou ne peuvent pas se deplacer il faudrait des fonctionnaires polyvalant itinerant;OE10;1
4 071;Diminution salaires et suppression des avantages des parlementaires, ministres et hauts fonctionnaires;Les depenses de nos elus;FI9;1
4 071;Plus de contrôle des dépenses (en particulier de la cour des comptes);Les depenses de nos elus;FI9;1
26 350;physique, apparence;Discrimination lié à l'éducation et à la manière de se comporter.;DC12;1
4 083;Plus de tranches IR progressives;Refondre IR et CSG en un seul impôt dont l’assiette plus étendue et plus progressive serait plus juste.;FI8;1
4 083;Baisser CSG;Refondre IR et CSG en un seul impôt dont l’assiette plus étendue et plus progressive serait plus juste.;FI8;1
9 727;Rétablir ISF;Remettre une partie de l isf baisser le salaire de nos députés et sénateurs;FI8;1
