id_lga;tag_lga;tag_elf
149;Tri sélectif, compost, moins de déchets;Tri sélectif, compost, réduction déchets
149;Transports doux ou moins nombreux;Transports plus verts ou réduits
149;Consommation vertueuse (bio, circuit-court, local, éthique);Consommation réduite ou vertueuse (bio, circuit court, local)
149;Réduction consommation énergie, eau;Réduction consommation énergie, eau
149;Réduction consommation alimentaire, vestimentaire;Régime alimentaire
149;Changement de chauffage, isolation;Meilleure isolation, changement chauffage/chaudière
149;Jardinage, potager (bio, sans pesticide);Cultiver/Jardiner bio, sans pesticide
149;Régime alimentaire;Régime alimentaire
149;Utilisation d'énergies renouvelables;Utilisation énergies Renouvelables
149;Engagement ou dons à des associations;Engagement ou dons à des associations
149;Y Rien;Aucun
149;Baisse de la reproduction;Baisse de la reproduction
150;Y Rien, je fais déjà le max;Rien, je fais déjà le max
150;Aides financières, fiscalité incitative, baisse prix;Aides financières, fiscalité incitative, baisse prix
150;Transports en commun meilleurs;Transports en commun meilleurs
150;Education, infos fiables sur l'impact de chaque geste;Education, infos fiables sur l'impact de chaque geste
150;Sans réponse / Hors sujet / Inclassable;Sans réponse / Hors sujet / Inclassable
150;Qu'État et industries donnent l'exemple;Qu'État et industries donnent l'exemple
150;Pistes cyclables;Pistes cyclables
150;Transports en commun moins chers;Transports en commun moins chers
150;Commerce de proximité, circuit-court;Commerce de proximité, circuit-court
150;Politique publique forte, long terme;Politique publique forte, long terme
150;Imposer des contraintes;Imposer des contraintes
150;Taxer les produits et services non écolo;Taxer les produits et services non écolo
150;Taxer les gros pollueurs;Taxer les gros pollueurs
150;Pas de taxe punitive;Pas de taxe punitive
150;Recherche, innovation, rentabilité;Recherche, innovation, rentabilité
150;Tri sélectif plus facile;Tri sélectif plus facile
150;Réduire les emballages (favoriser vrac);Réduire les emballages (favoriser vrac)
162;Transparence;Plus de transparence
162;Répartition dépenses, recettes;Plus de transparence
162;Bilan régulier, fréquent;Plus de transparence
162;Détail des dépenses, comptes;Plus d'information sur la dépense des impôts
162;Par site Internet;Plus d'information par internet
162;Pédagogie, visualisation;Plus de pédagogie
162;Par courrier, mail;Plus d'information par courrier, mail
162;Par médias;Plus d'information par les médias
162;Par l'école;Plus d'information par l'école
162;Remise à plat, simplification;Simplification
162;Cour des Comptes, organisme de contrôle;Plus de contrôle des dépenses (en particulier de la cour des comptes)
162;Répartition de la contribution;Plus de transparence
162;Par affichage ou réunion en mairie;Plus d'affichage en mairie
162;Exemples concrets d'usage;Plus de transparence
162;Comparaisons internationales;S'inspirer de l'international
162;Prévision, rétrospective;Plus de transparence
162;Info déjà disponible;Utiliser l'information déjà disponible
162;Info sur la dette;Plus de transparence
162;Expliquer chaque impôt;Plus de pédagogie
162;Indicateurs d'efficacité;Indicateurs d'efficacité
163;Impôt symbolique pour tous;Impôt symbolique pour tous
163;P + de tranches IR progressives;Plus de tranches IR progressives
163;Rétablir ISF;Rétablir ISF
163;Revoir niches;Revoir niches
163;Lutte évasion, fraude, optimisation;Lutte évasion, fraude, optimisation
163;Taxer les multinationales, GAFAM;Taxer les multinationales, GAFAM
163;Simplifier;Simplifier
163;TVA réduite (1ère nécessité);TVA réduite (1ère nécessité)
163;Baisser CSG;Baisser CSG
163;Suppression TH;Suppression taxe d'habitation
163;Taxer les riches;Taxer les riches
163;Taxer la finance;Taxer la finance
163;Taxer le luxe, polluant, importé;Taxer le luxe, polluant, importé
163;Taux IR égal pour tous;Taux IR égal pour tous
163;Taxer toutes les ressources;Taxer toutes les ressources
163;Harmonisation internationale;Harmonisation internationale
163;Refonte fiscalité successions;Refonte fiscalité successions
116;Vote obligatoire (sanction);vote obligatoire
116;Compter le vote blanc;prise en compte du vote blanc
116;Expliquer l'importance de voter et comment;plus de communication sur l’importance du vote
116;Instaurer le RIC;instauration R.I.C.
116;Vote par Internet, SMS;vote via nouvelles technologies (internet, SMS, etc.)
116;Exemplarité des élus;plus d’exemplarité des dirigeants politiques
116;Respect programme, engagements;respect des engagements des dirigeants politiques
116;Proximité, écoute, rencontres;plus de proximité entre le peuple et les dirigeants politiques
116;Changer mode scrutin (proportionnelle, ...);nouveau mode de scrutin (proportionnelle, etc.)
116;Vote en semaine;vote en semaine
116;Mieux formuler enjeux, projets;meilleure information sur les enjeux et les candidats
116;Créer assemblée citoyenne;instances citoyennes de décision (jury, tirage au sort, etc.)
116;Inciter à se présenter;
116;Favoriser référendums questions concrètes;plus de référendums
116;Respect résultat référendum;respect résultats référendum
136;Racisme (couleur de peau, ...);racisme, xénophobie, discriminations religieuses
136;Sexisme;sexisme
136;Homophobie, LGBT;homophobie, transphobie, LGBTphobie
136;Classe sociale, richesse;discriminations de classe / inégalités sociales
136;Handicap;envers les handicapés
136;Anti-blanc, anti-Français;anti-blanc/ anti-français
136;Physique, apparence;physique, apparence
136;Xénophobie, étrangers;racisme, xénophobie, discriminations religieuses
136;Religieux;racisme, xénophobie, discriminations religieuses
136;Antisémitisme;racisme, xénophobie, discriminations religieuses
136;Islamophobie;racisme, xénophobie, discriminations religieuses
127;Application loi 1905;Application loi 1905 / Séparation stricte Etat-religions
127;Aucun signe ostentatoire (croix, voile, kippa...);Aucun signe ostentatoire (croix, voile, kippa...)
127;Plus d'éducation;Plus d'éducation / dialogue / tolérance
127;Séparation stricte Etat-religions;Application loi 1905 / Séparation stricte Etat-religions
127;Loi de la République avant celles de la religion;Application loi 1905 / Séparation stricte Etat-religions
127;Aucun financement par l'Etat;Aucun financement par l'Etat
127;Préserver les coutumes françaises;Préserver les coutumes françaises
127;Condamnation des atteintes à la laïcité;Condamnation des atteintes à la laïcité
