id_elf,theme,question_elf
TE11,🌎 Transition écologique,Que faites-vous aujourd’hui pour protéger l’environnement et/ou que pourriez-vous faire ?
TE12,🌎 Transition écologique,Qu'est-ce qui pourrait vous inciter à changer vos comportements qui ne sont pas écologiques ? N'hésitez pas à donner des exemples concrets
TE13,🌎 Transition écologique,Quels sont les autres points sur lesquels vous souhaitez vous exprimer au sujet de la transition écologique ?
FI7,💰 Impôts et dépenses publiques,Quelles sont toutes les choses qui pourraient être faites pour améliorer l'information des citoyens sur l'utilisation des impôts ?
FI8,💰 Impôts et dépenses publiques,Que faudrait-il faire pour rendre la fiscalité plus juste et plus efficace ?
FI9,💰 Impôts et dépenses publiques,Quels sont les autres points sur lesquels vous souhaitez vous exprimer au sujet des impôts et des dépenses ?
DC11,🗣 Démocratie et citoyenneté,Comment inciter les citoyens à participer davantage aux élections ? Que faudrait-il faire pour mieux associer les citoyens aux grandes orientations et à la décision publique ?
DC11,🗣 Démocratie et citoyenneté,Comment inciter les citoyens à participer davantage aux élections ? Que faudrait-il faire pour mieux associer les citoyens aux grandes orientations et à la décision publique ?
DC12,🗣 Démocratie et citoyenneté,"Quelles sont les discriminations les plus répandues dont vous êtes témoin ou victime, et que faudrait-il faire pour lutter contre celles-ci et construire une société plus solidaire et tolérante ?"
DC13,🗣 Démocratie et citoyenneté,Que proposez-vous pour renforcer les principes de la laïcité dans le rapport entre l'Etat et les religions de notre pays ?
II1,🗣 Démocratie et citoyenneté,"Que pensez-vous de la situation en France aujourd'hui et de la politique migratoire ? Quels sont, selon vous, les critères à mettre en place pour définir la politique migratoire ?"
II3,🗣 Démocratie et citoyenneté,"Quelles sont, selon vous, les modalités d'intégration les plus efficaces et les plus justes à mettre en place aujourd'hui dans la société ?"
OE9,🇫🇷 Organisation de l'Etat,Que pensez-vous de l'organisation de l'Etat et des administrations en France ? De quelle manière cette organisation devrait-elle évoluer ?
OE10,🇫🇷 Organisation de l'Etat,Quels types de services publics vous manquent dans votre territoire et nécessitent d'être renforcés ? Quelles évolutions positives des services publics avez-vous noté ces dernières années ? Quelles améliorations suggérez-vous ?
OE11,🇫🇷 Organisation de l'Etat,Comment l’Etat et les collectivités territoriales peuvent-ils s’améliorer pour mieux répondre aux défis de nos territoires les plus en difficulté ?
