id1	id2	type	title	id0
162	UXVlc3Rpb246MTYy	Libre	Quelles sont toutes les choses qui pourraient être faites pour améliorer l'information des citoyens sur l'utilisation des impôts ?	1
163	UXVlc3Rpb246MTYz	Libre	Que faudrait-il faire pour rendre la fiscalité plus juste et plus efficace ?	2
164	UXVlc3Rpb246MTY0	Libre	Quels sont selon vous les impôts qu'il faut baisser en priorité ?	3
206	UXVlc3Rpb246MjA2	Libre	Afin de financer les dépenses sociales, faut-il selon vous...	4
205	UXVlc3Rpb246MjA1	Libre	S'il faut selon vous revoir les conditions d'attribution de certaines aides sociales, lesquelles doivent être concernées ?	5
165	UXVlc3Rpb246MTY1	Libre	Quels sont les domaines prioritaires où notre protection sociale doit être renforcée ?	6
166	UXVlc3Rpb246MTY2	Libre	Pour quelle(s) politique(s) publique(s) ou pour quels domaines d'action publique, seriez-vous prêts à payer plus d'impôts ?	7
167	UXVlc3Rpb246MTY3	Libre	Y a-t-il d'autres points sur les impôts et les dépenses sur lesquels vous souhaiteriez vous exprimer ?	8
160	UXVlc3Rpb246MTYw	Libre	Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?	9
161	UXVlc3Rpb246MTYx	Libre	Que faudrait-il faire selon vous pour apporter des réponses à ce problème ?	10
146	UXVlc3Rpb246MTQ2	QCM	Diriez-vous que votre vie quotidienne est aujourd'hui touchée par le changement climatique ?	11
147	UXVlc3Rpb246MTQ3	Libre	Si oui, de quelle manière votre vie quotidienne est-elle touchée par le changement climatique ?	12
148	UXVlc3Rpb246MTQ4	QCM	À titre personnel, pensez-vous pouvoir contribuer à protéger l'environnement ?	13
149	UXVlc3Rpb246MTQ5	Libre	Si oui, que faites-vous aujourd'hui pour protéger l'environnement et/ou que pourriez-vous faire ?	14
150	UXVlc3Rpb246MTUw	Libre	Qu'est-ce qui pourrait vous inciter à changer vos comportements comme par exemple mieux entretenir et régler votre chauffage, modifier votre manière de conduire ou renoncer à prendre votre véhicule pour de très petites distances ?	15
151	UXVlc3Rpb246MTUx	Libre	Quelles seraient pour vous les solutions les plus simples et les plus supportables sur un plan financier pour vous inciter à changer vos comportements ?	16
152	UXVlc3Rpb246MTUy	QCM	Par rapport à votre mode de chauffage actuel, pensez-vous qu'il existe des solutions alternatives plus écologiques ?	17
153	UXVlc3Rpb246MTUz	Libre	Si oui, que faudrait-il faire pour vous convaincre ou vous aider à changer de mode de chauffage ?	18
154	UXVlc3Rpb246MTU0	QCM	Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle comme les transports en commun, le covoiturage, l'auto-partage, le transport à la demande, le vélo, etc. ?	19
155	UXVlc3Rpb246MTU1	Libre	Si oui, que faudrait-il faire pour vous convaincre ou vous aider à utiliser ces solutions alternatives ?	20
207	UXVlc3Rpb246MjA3	Libre	Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?	21
157	UXVlc3Rpb246MTU3	Libre	Et qui doit selon vous se charger de vous proposer ce type de solutions alternatives ?	22
158	UXVlc3Rpb246MTU4	Libre	Que pourrait faire la France pour faire partager ses choix en matière d'environnement au niveau européen et international ?	23
159	UXVlc3Rpb246MTU5	Libre	Y a-t-il d'autres points sur la transition écologique sur lesquels vous souhaiteriez vous exprimer ?	24
107	UXVlc3Rpb246MTA3	Libre	En qui faites-vous le plus confiance pour vous faire représenter dans la société et pourquoi ?	25
108	UXVlc3Rpb246MTA4	QCM	En dehors des élus politiques, faut-il donner un rôle plus important aux associations et aux organisations syndicales et professionnelles ?	26
109	UXVlc3Rpb246MTA5	Libre	Si oui, à quel type d'associations ou d'organisations ? Et avec quel rôle ?	27
110	UXVlc3Rpb246MTEw	Libre	Que faudrait-il faire pour renouer le lien entre les citoyens et les élus qui les représentent ?	28
111	UXVlc3Rpb246MTEx	QCM	Le non-cumul des mandats instauré en 2017 pour les parlementaires (députés et sénateurs) est :	29
112	UXVlc3Rpb246MTEy	Libre	Pourquoi ?	30
113	UXVlc3Rpb246MTEz	Libre	Que faudrait-il faire pour mieux représenter les différentes sensibilités politiques ?	31
114	UXVlc3Rpb246MTE0	QCM	Pensez-vous qu'il serait souhaitable de réduire le nombre d'élus (hors députés et sénateurs) ?	32
115	UXVlc3Rpb246MTE1	Libre	Si oui, lesquels ?	33
116	UXVlc3Rpb246MTE2	Libre	Que pensez-vous de la participation des citoyens aux élections et comment les inciter à y participer davantage ?	34
117	UXVlc3Rpb246MTE3	QCM	Faut-il prendre en compte le vote blanc ?	35
